Time,Time Code,Country Name,Country Code,Forest area (% of land area) [AG.LND.FRST.ZS],"Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]",Compensation of employees (% of expense) [GC.XPN.COMP.ZS],Goods and services expense (% of expense) [GC.XPN.GSRV.ZS],Customs and other import duties (current LCU) [GC.TAX.IMPT.CN],Grants and other revenue (% of revenue) [GC.REV.GOTR.ZS],Interest payments (% of expense),Interest payments (% of revenue)
1990,YR1990,Canada,CAN,38.84551156,..,10.50662817,7.51888222,..,11.61262115,25.14288442,30.71048605
1990,YR1990,India,IND,21.50484833,50.78325379,11.17637827,13.88807928,2.0608E+11,20.14188131,22.36172455,27.63914483
1990,YR1990,Indonesia,IDN,65.43771425,45.74145233,24.24242424,11.46210112,2.4857E+12,5.394530658,20.21943574,12.71546277
1990,YR1990,Switzerland,CHE,29.18090822,12.32532176,7.406271557,6.90266248,1200677796,9.740986868,3.528761271,3.34624198
1990,YR1990,United Kingdom,GBR,11.48266027,30.20337095,15.11178684,15.82612597,..,8.248033537,9.00974552,8.924506594
1990,YR1990,United States,USA,33.02230821,40.93394357,10.06075032,17.84550284,16810000000,7.183780996,15.27236522,18.08518478
1990,YR1990,United Arab Emirates,ARE,3.44973247,..,..,..,..,..,..,..
1990,YR1990,Sweden,SWE,68.89335854,..,6.33426889,8.451195128,3190000000,12.79288581,11.68528608,10.60800346
1990,YR1990,Spain,ESP,27.84050136,35.13232241,14.25000468,5.708105547,1500727225,6.993187282,9.336059493,9.653176583
1990,YR1990,Qatar,QAT,0,..,..,..,..,..,..,..
1990,YR1990,Portugal,PRT,37.14754098,..,28.97356014,11.04739323,359633283.8,16.89161068,18.95453668,20.4381949
1990,YR1990,Pakistan,PAK,6.468957555,78.77253509,..,..,..,..,..,..
1990,YR1990,Nepal,NPL,39.66433566,52.62058095,..,..,2674800000,31.49662955,..,..
1990,YR1990,Malaysia,MYS,62.75604931,79.53661793,..,..,..,..,..,..
1990,YR1990,Japan,JPN,68.43115743,52.89407055,..,..,..,..,20.48002255,..
1990,YR1990,Finland,FIN,71.81893693,10.47561955,10.20759314,10.84265346,243704305.4,11.08754221,3.104374495,2.881298078
1990,YR1990,France,FRA,26.36394517,..,17.16387413,9.165211576,45582256.15,8.396625893,5.182598358,5.218269554
1990,YR1990,Belgium,BEL,..,..,..,..,..,..,..,..
2000,YR2000,Canada,CAN,38.79298183,58.73797424,10.36608269,7.381367441,..,10.14113347,21.97170347,19.7103027
2000,YR2000,India,IND,22.733495,55.0042465,10.26913105,11.55762437,4.7174E+11,24.91542423,29.64808273,38.91241532
2000,YR2000,Indonesia,IDN,53.94352867,..,..,..,..,..,..,..
2000,YR2000,Switzerland,CHE,30.26497017,25.77790616,5.876064179,6.281248503,1096077885,10.30083058,4.185658504,4.192489807
2000,YR2000,United Kingdom,GBR,12.21014343,87.44749774,15.08295666,10.50890721,..,3.401225751,7.258441904,7.512748749
2000,YR2000,United States,USA,33.13017359,33.26765486,8.662197166,12.80392242,20000000000,5.704844353,12.86214928,11.20582574
2000,YR2000,United Arab Emirates,ARE,4.356941707,..,..,..,..,..,..,..
2000,YR2000,Sweden,SWE,69.13885389,70.27831726,8.73976579,6.687091999,..,8.403503617,8.762251292,7.959598519
2000,YR2000,Spain,ESP,34.25637275,56.41656756,..,..,..,..,..,..
2000,YR2000,Qatar,QAT,0,..,..,..,..,..,..,..
2000,YR2000,Portugal,PRT,35.8579235,..,32.28020011,15.8279926,265000,..,..,..
2000,YR2000,Pakistan,PAK,5.852091117,66.75250207,4.007007321,47.80549819,61659000000,25.52016456,..,..
2000,YR2000,Nepal,NPL,40.32619463,64.57331984,..,..,10341000000,27.95392807,..,10.47484516
2000,YR2000,Malaysia,MYS,59.9341044,..,27.79458144,14.68489166,3599100000,21.80411295,15.38668062,14.53661043
2000,YR2000,Japan,JPN,68.24691358,98.93382307,6.052008785,5.242687288,..,..,11.88765998,..
2000,YR2000,Finland,FIN,73.69132276,..,9.501586462,7.394576019,-8000000,11.72163149,7.734042323,6.437451647
2000,YR2000,France,FRA,27.91987099,58.29925233,21.909696,5.843844391,19000000,4.976293209,6.18105391,6.372473896
2000,YR2000,Belgium,BEL,22.03764861,109.6474721,6.86222219,2.322568722,..,2.504865507,14.41489328,14.43736049
2013,YR2013,Canada,CAN,38.72565107,53.20086908,11.98718757,6.90344834,..,7.893044623,8.397000588,8.436848842
2013,YR2013,India,IND,23.64302315,50.31182736,8.128307055,8.741700595,1.87264E+12,12.64724344,19.4875636,25.68915783
2013,YR2013,Indonesia,IDN,51.60023414,27.78192722,15.10424332,10.58369444,3.16213E+13,25.11953778,7.701264546,7.856606659
2013,YR2013,Switzerland,CHE,31.51073153,20.21815744,6.945893579,6.614240747,1059339199,9.333039759,1.951637307,1.881136726
2013,YR2013,United Kingdom,GBR,12.88223866,141.5578557,12.7264904,13.10549947,..,7.62926618,7.3706298,8.790183518
2013,YR2013,United States,USA,33.8395963,95.53468821,10.0511436,8.277383446,35468000000,9.794223364,10.77545334,13.14243464
2013,YR2013,United Arab Emirates,ARE,4.467755562,1.845685137,32.22699326,29.23039373,5020531.5,83.40961304,..,..
2013,YR2013,Sweden,SWE,68.78092167,45.16954245,9.23592867,5.858856104,..,9.335673958,2.111614464,2.175801975
2013,YR2013,Spain,ESP,37.08211351,92.31229443,6.811587452,2.581504243,..,11.32027533,8.34043416,10.17661395
2013,YR2013,Qatar,QAT,0,..,..,..,..,..,..,..
2013,YR2013,Portugal,PRT,35.8931589,..,21.68390209,7.973165287,..,13.29965493,10.74023293,12.34986974
2013,YR2013,Pakistan,PAK,5.185050851,..,..,..,..,..,..,..
2013,YR2013,Nepal,NPL,41.59072201,..,26.69887256,9.412979537,54327890000,21.66746455,5.553007996,4.151113273
2013,YR2013,Malaysia,MYS,58.61388525,52.99925192,29.06810712,16.13490375,2523800000,26.91003711,9.899957963,9.73690984
2013,YR2013,Japan,JPN,68.45761317,186.5642973,5.488959879,5.172645468,..,..,9.260134198,..
2013,YR2013,Finland,FIN,73.52068183,..,8.229079015,7.755790719,1000000,12.8351215,3.056939154,3.205899675
2013,YR2013,France,FRA,30.442858,90.96854367,18.50639161,5.475354043,-38000000,5.779038935,4.594327714,4.974413748
2013,YR2013,Belgium,BEL,22.77173052,101.564361,5.992207939,2.237185603,..,4.137891385,6.554787825,6.951230788
2014,YR2014,Canada,CAN,38.72104457,51.48270813,11.5909341,7.125218518,..,7.194636485,7.705896016,7.424005088
2014,YR2014,India,IND,23.73262388,49.90092487,9.675050685,8.498908372,1.87976E+12,13.55984686,21.23559695,27.18508476
2014,YR2014,Indonesia,IDN,51.10689159,27.4216122,14.33654149,9.930459561,3.1705E+13,26.08119142,7.919117521,8.592617947
2014,YR2014,Switzerland,CHE,31.59822336,20.61124279,7.070948121,6.705214605,1068410877,9.140628201,1.803677855,1.754739333
2014,YR2014,United Kingdom,GBR,12.96160046,150.5759794,13.13329444,13.39323686,..,6.340814489,7.066835327,8.472723172
2014,YR2014,United States,USA,33.86965942,95.76669869,9.855120318,7.738508588,37363100000,7.8757288,11.02377381,13.22404298
2014,YR2014,United Arab Emirates,ARE,4.467755562,..,34.26731693,29.39173076,3974016,82.94201043,..,..
2014,YR2014,Sweden,SWE,68.73525954,49.45450857,9.255341326,5.735770678,..,8.167697079,1.67602212,1.720293236
2014,YR2014,Spain,ESP,37.08444853,105.5729617,6.853932897,2.617199135,..,10.46671388,8.577019756,10.05551222
